Michmas	默瑪
Pi-beseth	比伯實
Betah	比他
Bealoth	比亞綠
Mysia	每西亞
Myra	每拉
valley of Slaughter	殺戮谷
Gog	歌革
Colosse	歌羅西
Goshen	歌珊
Gozan	歌散
Borashan	歌拉珊
Gob	歌伯
the valley of the son of Hinnom	欣嫩子谷
Mount of Olives	橄欖山
Valley of Sorek	梭烈谷
Socoh	梭哥
Dura	杜拉
Pontus	本都
Shur	書珥
Susa	書珊
Shunem	書念
Shoa	書亞
Jeshimon	曠野
Amphip'olis	暗妃波里
Pamphylia	旁非利亞
Shikkeron	施基崙
Syracuse	敘拉古
Sychar	敘加
Dalmatia	撻馬太
Bozez	播薛
Sama'ria	撒馬利亞
Sadducee	撒都該
Salchah	撒迦
Sarid	撒立
Sardis	撒狄
brook Zered	撒烈溪
Samothracia	撒摩特喇
Salmone	撒摩尼
Samos	撒摩
Zanoah	撒挪亞
Salamis	撒拉米
Zarethan	撒拉但
Zaanan	撒南
Zarephath	撒勒法
Zeredah	撒利但
Zaphon	撒分
Salim	撒冷
Zalmon	撒們
Moserah	摩西拉
Mozah	摩撒
Moladah	摩拉大
Moab	摩押
Memphis	摩弗
Moresheth	摩利沙
Mount Moriah	摩利亞山
Moriah	摩利亞
Telem	提鍊
Tema	提瑪
Sea of Tiberias	提比哩亞海
Tiberias	提比哩亞
Tiphsah	提斐薩
Telaim	提拉因
Teman	提幔
Tibhath	提巴
Tekoa	提哥亞
Thebez	提備斯
Thyatira	推雅推喇
Tyre	推羅
Nophah	挪法
Memphis	挪弗
Nobah	挪巴
Nob	挪伯
Thebes	挪
city of Nahor	拿鶴的城
Naaran	拿蘭
Naioth	拿約
Na'amah	拿瑪
Nazareth	拿撒勒
Naarah	拿拉
Naph-tuhim	拿弗土希
Naph'tali	拿弗他利
Na'in	拿因
Nahalal	拿哈拉
Nahaliel	拿哈列
Patmos	拔摩
Lasea	拉西亞
Rakkath	拉甲
Rabbith	拉璧
Ramathaimzophim	拉瑪．瑣非
Ramah	拉瑪
Laban	拉班
Lasha	拉沙
Ramoth	拉末
Rakkon	拉昆
Lahmam	拉幔
Rabbath	拉巴
Racal	拉哈勒
Rahab	拉哈伯
Lachish	拉吉
Laish	拉億
Abdon	押頓
Azmaveth	押瑪弗
Admah	押瑪
Achshaph	押煞
Azmon	押們
Addan	押但
Sodom	所多瑪
Hukkok	戶割
Italy	意大利
Siphmoth	息末
Zimri	心利
Tirzah	得撒
Pisidia	彼西底
Phrygia	弗呂家
Put	弗
Dumah	度瑪
Dilean	底連
Debir	底璧
Dibon	底本
Dizahab	底撒哈
Dimonah	底摩拿
Dedan	底但
BeerLahairoi	庇耳•拉海•萊
Bithynia	庇推尼
Berea	庇哩亞
Canneh	干尼
Mamre	幔利
Thessalonica	帖撒羅尼迦
Parthian	帕提亞
Paphos	帕弗
Patara	帕大喇
Helam	希蘭
Greece	希臘
Hethlon	希特倫
Harheres	希烈山
Hena	希拿
Hierapolis	希拉波立
Hepher	希弗
Hilen	希崙
Syene	希尼
Heshbon	希實本
Heleph	希利弗
Heres	希列斯
Hebron	希伯崙
Buz	布斯
Bamah	巴麻
Mount Paran	巴蘭山
Paran	巴蘭
Bashan	巴珊
Babylon	巴比倫
Balah	巴拉
Bahurim	巴戶琳
Pathros	巴忒羅
Ba'al	巴力
Babel	巴別
Bered	巴列
Pai	巴伊
Cyprus	居比路
Netophah	尼陀法
Nile	尼羅河
Nebo	尼波
Neiel	尼業
Nezib	尼悉
