SERAIAH	西萊雅
EBED-MELECH	以伯米勒
ILAI	以來
ELON	以倫
ELEAD	以列
EBED	以別
ERI	以利
ELI	以利
ILI	以利
ELIENAI	以利乃
ELIAH OR ELIJAH	以利亞
ELIATHAH	以利亞他
ELIASHIB	以利亞實
ELASAH	以利亞撒
ELEAZAR	以利亞撒
ELIAKIM	以利亞敬
ELEASAH	以利亞薩
ELIAKIM	以利亞金
ELIEZER	以利以謝
ELIHOREPH	以利何烈
ELIKA	以利加
ELKANAH	以利加拿
ELPAAL	以利巴力
ELIHU	以利戶
ELIAB	以利押
ELNATHAN	以利拿單
ELZAPHAN	以利撒反
ELIZAPHAN	以利撒番
ELIPHELEH	以利斐利戶
ELISHUA	以利書亞
ELIEL	以利業
ELISHA	以利沙
ELISHAH	以利沙
ELISABETH	以利沙伯
ELISHEBA	以利沙巴
ELISHAPHAT	以利沙法
ELISHAMA	以利沙瑪
ELIPHAZ	以利法
ELIPHELET	以利法列
ELIPHAL	以利法勒
ELIMELECH	以利米勒
ELIOENAI	以利約乃
ELIZUR	以利蓿
ELZABAD	以利薩巴
ELIDAD	以利達
ELIJAH	以利雅
ELIAHBA	以利雅哈巴
ELIADA	以利雅大
ELIASAPH	以利雅薩
ELDAAH	以勒大
ENAN	以南
ELIMAS	以呂馬
ITTAI	以太
EZER	以察
ESHCOL	以實各
ESHTEMOA	以實提摩
ISHBI-BENOB	以實比諾
ISHMAEL	以實瑪利
ESHMAIAH	以實買雅
AENEAS	以尼雅
EPAPHRAS	以巴弗
EPAPHRODITUS	以巴弗提
EBAL	以巴錄
EHI	以希
EPHOD	以弗
EPHER	以弗
EPHRON	以弗崙
EPHLAL	以弗拉
EPICUREANS	以彼古羅
ELIUD	以律
EDER	以得
EHUD	以忽
IRA	以拉
ELAH OR ELAM	以拉
ELADAH	以拉大
ERASTUS	以拉都
EPAENETUS	以拜尼土
IRAD	以拿
ENOS	以挪士
ESAU	以掃
ETHAN	以探
ELMODAM	以摩當
ISSAC	以撒
ESARHADDON	以撒哈頓
ELAM	以攔
EPHAI	以斐
EZRI	以斯利
ESLI	以斯利
IZHAR	以斯哈
ESTHER	以斯帖
EZRA	以斯拉
EZBON	以斯本
EVI	以未
EVIL-MERODACH	以未米羅達
EDOM	以東
EGLAH	以格拉
IBZAN	以比讚
EBIASAPH	以比雅撒
EPHAH	以法
EPHRATAH	以法他
ELPALET	以法列
EPHRAIM	以法蓮
ITHREAM	以特念
ITHRA	以特拉
IR	以珥
IGAL	以甲
ISHI	以示
EHUD	以笏
EKER	以結
ISRAEL	以色列
EZER	以薛
ISSACHAR	以薩迦
IRAM	以蘭
IRAN	以蘭
EZEKIEL	以西結
ESHEK	以設
ENOCH	以諾
EZER	以謝
EZER	以謝珥
ISAIAH	以賽亞
IRU	以路
IGAL	以迦
ICHABOD	以迦博
ELIAM	以連
ITHIEL	以鐵
JEEZER	伊以謝
ELIAKIM	伊利亞敬
ELNAAM	伊利拿安
ELUZAI	伊利烏賽
ELDAD	伊利達
IRIJAH	伊利雅
ELHANAN	伊勒哈難
IGDAIAH	伊基大利
