SERAIAH	西萊雅
SHAVSHA	沙威沙
ahage	沙密
shallun	沙崙
SHADRACH	沙得拉
shelah	沙拉
sharar	沙拉
SHAMMUA	沙母亞
SHABBETHAI	沙比太
SHAPHAT	沙法
SHASHAK	沙煞
SHAMMAH	沙瑪
SHAMA	沙瑪
SHAASHGAZ	沙甲
SACAR	沙甲
SHAPHAM	沙番
SHAPHAN	沙番
SHAMMAI	沙買
SHARAI	沙賴
SHASHAI	沙賽
SHACHIA	沙迦
SHAMED	沙麥
SHALLUM	沙龍
HOD	河得
GUNI	沽尼
PHANUEL	法內力
PELEG	法勒
PERAZ	法勒斯
PHARAOH-NECHOH	法老尼哥
PHALLU	法路
BOCHERU	波基路
POTIPHAR	波提乏
POTI-PHERA	波提非拉
PORCIUS-FESTUS	波求非斯都
BOHAN	波罕
BOAZ	波阿斯
ZIPHION	洗分
ZERETH	洗列
ZELEK	洗勒
ZILTHAI	洗勒太
ZIBA	洗巴
ZILLAH	洗拉
ZIBIAH	洗比雅
ZEPHO	洗玻
ZEROR	洗羅
ZIPHION	洗非芸
ZEREDA	洗魯阿
ZERUIAH	洗魯雅
REUBEN	流便
REUEL	流珥
REUMAH	流瑪
DIBLAIM	滴拉音
HANNIEL	漢尼業
HANNIEL	漢聶
URIEL	烏列
URI	烏利
URIAH	烏利亞
UTHAI	烏太
UNNI	烏尼
ULLA	烏拉
UZZAH	烏撒
UZZAH	烏斯
UCAL	烏甲
UEL	烏益
UZZIEL	烏薛
UZAL	烏薩
ULAM	烏蘭
UZZI	烏西
UZZIA	烏西亞
UZZIAH	烏西雅
UZAI	烏賽
TIRHANAH	特哈加
TIRHANAH	特哈拿
TIRHAKAH	特瓦
TROPHIMUS	特羅非摩
JUBAL	猶八
JULIA	猶利亞
JUSTUS	猶士都
JUDA	猶大
JUDAH	猶大
JUDAS	猶大
JUNIAS	猶尼亞
JEHUDI	猶底
JOELAH	猶拉
EUTYCHUS	猶推古
JULIUS	猶流
JUDITH	猶滴
JEHUCAL	猶甲
POCHERETH OF ZEBAIM	玻黑列哈斯巴音
SHAMHUTH	珊合
SHAMMA	珊瑪
AHSMSHERAI	珊示萊
SHAGAR	珊迦
ER	珥
SOTAI	瑣太
HASSOPHERETH	瑣斐列
ZOBEBAH	瑣比巴
ZOPHAR	瑣法
ZOPHAH	瑣法
ZOHAR	瑣轄
MATTANIAH	瑪他尼
MATTATHIAS	瑪他提亞
MATTITHIAH	瑪他提雅
MEDIA	瑪代
MAOCH	瑪俄
MAHLON	瑪倫
MAHALALEL	瑪勒列
MAGOG	瑪各
MACHIR	瑪吉
MAHATH	瑪哈
MAHALATH	瑪哈拉
MAHAZIOTH	瑪哈秀
MAHARAI	瑪哈萊
METHUSHAEL	瑪土撒利
MATHUSELAH	瑪土撒拉
MATTAN	瑪坦
MACHI	瑪基
MAGDILEL	瑪基疊
MALCHIRAM	瑪基蘭
MALCHIJAHOR MALCHIAH	瑪基雅
MATTHAT	瑪塔
MAADIAH	瑪底雅
MAATH	瑪押
MAHLAH	瑪拉
MARA	瑪拉
MALACHI	瑪拉基
MALCAM	瑪拉干
MACHNADEBAI	瑪拿底拜
MANASSEH	瑪拿西
MANAHATH	瑪拿轄
MANOAH	瑪挪亞
MATTANIAH	瑪探雅
MASSA	瑪撒
MAAZ	瑪斯
MASH	瑪施
MAHOL	瑪曷
MAGOR-MISSAABIB	瑪歌珥米撒畢
MATTENAI	瑪特乃
MATRED	瑪特列
MAADAI	瑪玳
MALCHIEL	瑪結
MALLOTHI	瑪羅提
MAAI	瑪艾
MAAZIAH	瑪西亞
MARSENA	瑪西拿
MAASEAS	瑪西雅
MAHSEIAH	瑪西雅
MAASAI	瑪賽
MAACAH	瑪迦
MALLUCH	瑪鹿
MAHER-SHALAL-HASH-BEZ	瑪黑珥沙拉勒哈施罷斯
BILGAH	璧迦
VASHTI	瓦實提
VANIAH	瓦尼雅
VAJEZATHA	瓦耶撒他
SHIMRI	甲利
CALCOL	甲各
SHIMRATH	甲拉
CARSHENA	甲示拿
KADMIEL	甲篾
CARCAS	甲迦
BIDKAR	畢甲
PYRRHUS	畢羅斯
PRISCILLA	百基拉
BERNICE	百尼基
IKKESH	益吉
ISHBAH	益巴
JETHER	益帖
JIDLAPH	益拉
ITHRAN	益蘭
IBHAR	益轄
JAIR	睚珥
JAIRUS	睚魯
PORATHA	破拉他
CEPHAS	磯法
SHEDEUR	示丟珥
SHEARIAH	示亞利雅
SHEMAR-BOZAI	示他波斯乃
SHALLUM	示冷
SHEBER	示別
SHILHI	示利希
SHELESH	示利斯
SHERESH	示利施
SHEREBIAH	示利比
SHELEMIAH	示利米雅
SHEHARIAH	示哈利
SHEPHUPHAN	示孚汎
SEBA	示巴
SHEBANIAH	示巴尼
SHEAL	示押
SHELAH	示拉
SHENAZAR	示拿薩
SHIZA	示撒
SHISHAK	示撒
SHEMUEL	示母利
SHIMI	示每
SHISHA	示沙
SHEVA	示法
SHEPHATIAH	示法提雅
SHEPHO	示玻
SHESHAN	示珊
SHEMA	示瑪
SHEMAAH	示瑪
SHEMARIAH	示瑪利雅
SHEMAIAH	示瑪雅
SHESHAI	示篩
SHIMEA	示米亞
SHIMRITH	示米利
SHEMIDA	示米大
SHEMATH	示米押
SHEMIRAMOTH	示米拉末
SHEMEAH	示米暗
SHINAB	示納
SHELOMITH	示羅密
SHELOMITH	示羅摩
SHELOMI	示羅米
SHELUMIEL	示路篾
SHECANIAH	示迦尼
SHECANIAH	示迦尼雅
SHETHAR	示達
SHIPHI	示非
ZIBEON	祭便
FORTUNATUS	福徒拿都
LIBNI	立尼
DALAIAH	第來雅
DALAIAH	第萊雅
TABBAOTH	答巴俄
TAHPENES	答比匿
TEMAB	答瑪
MEDAN	米但
MERED	米列
MELEA	米利亞
MIRIAM	米利暗
MEREMOTH	米利末
MERES	米力
MERIB-BAAL	米力巴力
MELECH	米勒
MICHRI	米基立
MESHILLEMITH	米實利密
MESHILLEMOTH	米實利末
MEHETABEL	米希他別
MEHIDA	米希大
MEHETABEEL	米希大別
MEHUMAN	米戶慢
MEHUJAEL	米戶雅利
MESHOBAB	米所巴
MERAB	米拉
MERARI	米拉利
MELATIAH	米拉提
MERAIOTH	米拉約
MILALAI	米拉萊
MERAIAH	米拉雅
MINIAMIN	米拿民
MENAHEM	米拿現
MITHREDATH	米提利達
MIZZAH	米撒
MIZPAR	米斯拔
MISPERETH	米斯毗列
MESHELEMIAH	米施利米雅
MISHMA	米施瑪
MESHULLAM	米書蘭
MEBUNNAI	米本乃
MEMUCAN	米母干
MIBZAR	米比薩
MIBSAM	米比衫
MESHA	米沙
MISHAEL	米沙利
MAZAR	米沙利
MESHACH	米煞
MITHREDATH	米特利達
MISHAM	米珊
MIRMA	米瑪
MICHAL	米甲
MIDIAN	米甸
MESHEZABEEL	米示薩別
MESHULLEMETH	米舒利密
MEZAHAB	米薩合
MESHECH	米設
MICHAIAH	米該亞
MICAH	米迦
MICHAL	米迦
MICHAEL	米迦勒
MEDAD	米達
MIJMIN	米雅民
MEPHIBOSHETH	米非波設
MEHIR	米黑
JOAH	約亞
JOANNA	約亞拿
JOANNA	約亞拿
JORIM	約令
JOEZER	約以謝
JOB	約伯
JOB	約伯
JOGLI	約利
JONAN	約南
JOHA	約哈
JOAHAZ	約哈斯
JEHOAHAZ	約哈斯
JOHANAN	約哈難
JOHOHANAN	約哈難
JOKTAN	約坍
JOTHAM	約坦
JOCHEBED	約基別
JOBAB	約巴
JORKOAM	約干
JOAB	約押
JORAH	約拉
JONAH	約拿
JONATHAN	約拿單
JONADAB	約拿達
JOSABAD	約撒拔
JOZACHAR	約撒甲
JOZEDECH	約撒答
JOZADAK	約撒達
JOKIM	約敬
JOSHBEKASHAH	約施比加沙
JOSHUA	約書亞
JESHOHAIAH	約朔海
JOSHAH	約沙
JOSHAVIAH	約沙未雅
JEHOSAPHAT	約沙法
JEHOSHAPHAT	約沙法
JOKSHAN	約珊
JOEL	約珥
JOSEPH	約瑟
JEHOSHEBA	約示巴
JOSIBIAH	約示比
JOSEPH	約細
JOSIPHIAH	約細斐
JOHN	約翰
JEHOADDAN	約耶但
JOSEPH	約色
JOED	約葉
JEHOZABAD	約薩拔
JEHOZADAK	約薩答
JOHORAM	約蘭
JOSES	約西
JOSIAH	約西亞
JOSHEB-BASSHEBET	約設巴設
JORAI	約賴
JOASH	約阿施
JEHOIAKIM	約雅敬
JEHOIACHIN	約雅斤
JEHOIARIB	約雅立
JOIAKIM	約雅金
ZIA	細亞
ZERESH	細利斯
ZETHAN	細坦
ZETHAM	細坦
ZICHRI	細基利
SHEBUEL	細布業
ZINA	細拿
ZIZAH	細撒
ZIZA	細撒
ZEMIRA	細米拉
VOPHSI	縛西
LOIS	羅以
RODANIM	羅單
LOTAN	羅坍
RHODA	羅大
RUFUS	羅孚
ROSH	羅實
ROMAMTI-EZER	羅幔提以謝
LOT	羅得
REHOBOAM	羅波安
LO-RUHAMAH	羅路哈瑪
ROHGAH	羅迦
LO-AMMI	羅阿米
URBANE	耳巴奴
JEHOIADA	耶何耶大
JEHOADAH	耶何阿達
JEHOIARIB	耶何雅立
JEHIEL	耶利
JERIBAI	耶利拜
JERIMOTH	耶利摩
JEREMOTH	耶利末
JEREMIAH	耶利米
JEREMAI	耶利買
JERIAH	耶利雅
JECAMIAH	耶加米
JEKAMIAH	耶加米雅
JEKAMEAM	耶加面
JERIEL	耶勒
JEKUTHIEL	耶古鐵
JECHOLIAH	耶可利雅
JARHA	耶哈
JEHALELEEL	耶哈和勒
JAHDO	耶哈多
JECONIAH	耶哥尼雅
JEDAIAH	耶大雅
JEPHUNNEH	耶孚尼
JASON	耶孫
JEHIAH	耶希亞
JEHIELI	耶希伊利
JEHDEIAH	耶希底亞
JEHEZEKEL	耶希斯刻
JEHIZKIAH	耶希西家
JETHETH	耶帖
JEDIDAH	耶底大
JEDIDIAH	耶底底亞
JEPHTHAH	耶弗他
JEHU	耶戶
JEHUBBAH	耶戶巴
JERAH	耶拉
JERAHMEEL	耶拉篾
JATHNIEL	耶提聶
JEZANIAH	耶撒尼亞
JESUS	耶數
JESUS JUSTUS	耶數猶士都
JEZREEL	耶斯列
JESHEBEAB	耶是比押
JESHEUAH	耶書亞
JESHURUN	耶書崙
JEDUTHUN	耶杜頓
JEHIEL	耶歇
JEMUEL	耶母利
JEBERECHIAH	耶比利家
JEZEBEL	耶洗別
JEVEL	耶烏利
JEUZ	耶烏斯
JEUSH	耶烏施
JEATERAI	耶特賴
JERIOTH	耶略
JEDIAEL	耶疊
JESHISHAI	耶示篩
JESUS	耶穌
JESAIAH	耶篩亞
JEMIMA	耶米瑪
JAROAH	耶羅亞
JEROBOAM	耶羅波安
JEROHAM	耶羅罕
JEZER	耶色
JEZIEL	耶薛
JESHARELAH	耶薩利拉
JESSE	耶西
JESIMIEL	耶西篾
JESIAH	耶西雅
JEZIAH	耶西雅
JESHER	耶設
JABIN	耶賓
JERUBBAAL	耶路巴力
JERUBBESHETH	耶路比設
JERUSHA	耶路沙
JAREB	耶雷布
HUPPAH	胡巴
PHILIP	腓利
PHILEMON	腓利門
PHILIP	腓力
FELIX	腓力斯
PHYGELUS	腓吉路
PHILETUS	腓理徒
RIMMON	臨門
GEUEL	臼利
SHEERAH	舍伊拉
SHEBNA	舍伯那
CHUZA	苦撒
HOMAM	荷幔
HODUAH	荷第雅
HORAM	荷蘭
JETHRO	葉忒羅
ZATTU	薩土
ZALAPH	薩拉
ZABBAI	薩拜
ZACCAI	薩改
SHAIMAI	薩瑪
SHALMAI	薩買
ZIMMAH	薪瑪
ZURIEL	蘇列
ZURISHADDAI	蘇利沙代
ZUPH	蘇弗
ZUAR	蘇押
SUSANNA	蘇撒拿
ZUR	蘇珥
SUSI	蘇西
RAM	蘭
SIAHA	西亞
ZEEB	西伊伯
SECUNDUS	西公都
SELED	西列
ZERI	西利
SEGUB	西割
ZIHA	西哈
ZIPPORAH	西坡拉
SIHON	西宏
SEBA	西巴
ZEBAH	西巴
ZEBADIAH	西巴第雅
ZEBULON	西布倫
ZEBUL	西布勒
ZEBUDAH	西布大
SETHEUR	西帖
ZEBEDEE	西庇太
ZEDEKIAH	西庇家
ZIPH	西弗
SILAS	西拉
SERAH	西拉
ZERAHIAH	西拉希雅
SENAAH	西拿
SENNACHERIB	西拿基立
ZITHRI	西提利
ZIPPOR	西撥
SISAMAI	西斯買
ZIBIAH	西比亞
ZEBINA	西比拿
SIBBECHAI	西比該
ZIPHAH	西法
SERED	西烈
SEMACHIAT	西瑪迦
ZEPHANIAH	西番亞
ZEPHANIAH	西番雅
ZENAS	西納
SIMEON	西緬
SHIMEON	西緬
ZELOPHEHAD	西羅非哈
SEMEI	西美
SISERA	西西拉
ZETHAR	西達
SIMON	西門
SIMON PETER	西門彼德
SIMEON	西面
SIDON	西頓
SERUG	西鹿
TOHU	託戶
SHESHBAZZAR	設巴薩
HYMEN-EUS	許米乃
CAIAPHAS	該亞法
KENAN	該南
GAIUS	該猶
CAIN	該隱
ETHBAAL	謁巴力
ZERAH	謝拉
COLHOZEH	谷何西
MENNA	買南
HODESH	賀得
BINNUI	賓內
BIMHAL	賓哈
HEN	賢
HETH	赫
LUKE	路加
RUHAMAH	路哈瑪
RUTH	路得
LUD	路德
LUCIUS	路求
BILHAH	辟拉
BIGTHAN	辟探
BILHAN	辟罕
GINNETHO	近頓
GAAL	迦勒
CHALEB	迦勒
CANAAN	迦南
GAZEZ	迦卸
GAHAM	迦含
GAHAR	迦哈
GATAM	迦坦
GADDI	迦底
GADI	迦底
GAD	迦得
GALAL	迦拉
GABBAI	迦拜
GAZZAM	迦散
GASHMU	迦施慕
GAMUL	迦末
GALLIO	迦流
GAMALIEL	迦瑪列
GADDIEL	迦疊
GAREB	迦立
CARMI	迦米
GAZEZ	迦謝
MISHMANNSH	迷斯瑪拿
TATNAI	達乃
TALMON	達們
DALPHON	達分
DARDA	達大
THADDAEUS	達太
DARKON	達昆
TALMAI	達買
TALMAI	達買
NAHUM	那鴻
PUBLIUS	部百流
CHIMHAM	金罕
SHEM	閃
AHOLIBAMAH	阿何利巴瑪
ONAM	阿南
ANIAM	阿尼安
ONESIPHORUS	阿尼色弗
ONESIMUS	阿尼西母
ADNA	阿底拿
OMAR	阿抹
ANANI	阿拿尼
AMOS	阿摩司
AZZAN	阿散
OPHIR	阿斐
OZNI	阿斯尼
OLYMPAS	阿林巴
OBIL	阿比勒
AMMI	阿米
AHOLIBAH	阿荷利巴
AHOLAH	阿荷拉
AZUBAH	阿蘇巴
AKKUB	阿谷
OHAD	阿轄
OREN	阿連
OZEM	阿鮮
OHEL	阿黑
TOAH	陀亞
TOI	陀以
TOLA	陀拉
TOU OR TOI	陀烏
JANAI	雅乃
JAHDAI	雅代
JALON	雅倫
JAEL	雅億
JABAL	雅八
JARED	雅列
JAHLEEL	雅利
JAARESHIAH	雅利西
JASHUBI-LEHEM	雅叔比利恆
JACOB	雅各
JAMES	雅各
JAHATH	雅哈
JAHAZIEL	雅哈悉
JAHZEIAH	雅哈謝
JAAKOBAH	雅哥巴
JASHEN	雅善
JAKEH	雅基
JADA	雅大
JAVAN	雅完
JANNES	雅尼
JAHZERAH	雅希細拉
JACAN	雅干
JAPHETH	雅弗
JAPHLET	雅弗勒
JAZIZ	雅悉
JAMIN	雅憫
JAALAH	雅拉
JARAH	雅拉
JANNA	雅拿
JAASAU	雅掃
JAAZANIAH	雅撒尼亞
JACHIN	雅斤
JASHOBEAM	雅朔班
JABESH	雅比
JABEZ	雅比斯
JADDAI	雅玳
JAHDIEL	雅疊
JARIB	雅立
JAMLECH	雅米勒
JAAZIEL	雅薛
JAHZEEL	雅薛
JALAM	雅蘭
JAASIEL	雅西業
JAAZIAH	雅西雅
JAHMAI	雅買
JASHUB	雅述
JAKIM	雅金
JAARE-OREGIM	雅雷俄珥金
JAPHIA	雅非亞
JADON	雅頓
PHICHOL	非各
PHINEHAS	非尼哈
PHOEBE	非比
PHILOLOGUS	非羅羅古
CHLOE	革來氏
CLEMENT	革利免
CRESCENS	革勒士
CLEOPAS	革流巴
CLEOPHAS	革羅罷
CLAUDIUS	革老丟
CLAUDIUS LYSIAS	革老丟呂西亞
CLAUDIA	革老底亞
GERSHOM	革舜
GERSHON	革順
IMRI	音利
IMLAH	音拉
IMRAH	音拉
JIMNAH	音拿
IMNA	音那
IMMER	音麥
MATTHAN	馬但
MARY	馬利亞
MALCHUS	馬勒古
MARK	馬可
MARTHA	馬大
MATTHEW	馬太
MANAEN	馬念
MATTHIAS	馬提亞
MATTATHA	馬達他
TOB-ADONJIAH	駝巴多尼雅
MELCHI	麥基
MELCHIZEDEK	麥基洗德
MELCHI-SHUA	麥基舒亞
MIZRAIM	麥西
HERESH	黑勒施
HERMOGENES	黑摩其尼
HELDAI	黑玳
HERMES	黑米
HERMAS	黑馬
