OGNTsort	BCV	Pre	OGNTa	PM	Post	Lemma	RMAC	Gloss	中文	OTquotation	LN	sn
000001	Mat 1:1		Βίβλος			βίβλος	N-NSF	[The] book	書	-	33.38	00976
000002	Mat 1:1		γενέσεως			γένεσις	N-GSF	of [the] genealogy	出生	-	10.24|33.19	01078
000003	Mat 1:1		Ἰησοῦ			Ἰησοῦς	N-GSM	of Jesus	耶穌	-	93.169	02424
000004	Mat 1:1		Χριστοῦ			Χριστός	N-GSM	Christ	基督	-	93.387	05547
000005	Mat 1:1		υἱοῦ			υἱός	N-GSM	son	子孫	-	10.3	05207
000006	Mat 1:1		Δαυὶδ			Δαυίδ	N-GSM	of David	大衛	-	93.91	01138
000007	Mat 1:1		υἱοῦ			υἱός	N-GSM	son	子孫	-	10.3	05207
000008	Mat 1:1		Ἀβραάμ	.	¶	Ἀβραάμ	N-GSM	of Abraham	亞伯拉罕	-	93.7	00011
000009	Mat 1:2		Ἀβραὰμ			Ἀβραάμ	N-NSM	Abraham	亞伯拉罕	-	93.7	00011
000010	Mat 1:2		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000011	Mat 1:2		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000012	Mat 1:2		Ἰσαάκ	,		Ἰσαάκ	N-ASM	Isaac	以撒	-	93.18	02464
000013	Mat 1:2		Ἰσαὰκ			Ἰσαάκ	N-NSM	Isaac	以撒	-	93.18	02464
000014	Mat 1:2		δὲ			δέ	CONJ	then	-	-	89.87	01161
000015	Mat 1:2		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000016	Mat 1:2		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000017	Mat 1:2		Ἰακώβ	,		Ἰακώβ	N-ASM	Jacob	雅各	-	93.157	02384
000018	Mat 1:2		Ἰακὼβ			Ἰακώβ	N-NSM	Jacob	雅各	-	93.157	02384
000019	Mat 1:2		δὲ			δέ	CONJ	then	-	-	89.87	01161
000020	Mat 1:2		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000021	Mat 1:2		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000022	Mat 1:2		Ἰούδαν			Ἰούδας	N-ASM	Judah	猶大	-	93.173	02455
000023	Mat 1:2		καὶ			καί	CONJ	and	和	-	89.92	02532
000024	Mat 1:2		τοὺς			ὀ	T-APM	the	-	-	92.24	03588
000025	Mat 1:2		ἀδελφοὺς			ἀδελφός	N-APM	brothers	兄弟姊妹	-	10.49	00080
000026	Mat 1:2		αὐτοῦ	,		αὐτός	P-GSM	of him	他	-	92.11	00846
000027	Mat 1:3		Ἰούδας			Ἰούδας	N-NSM	Judah	猶大	-	93.173	02455
000028	Mat 1:3		δὲ			δέ	CONJ	then	-	-	89.87	01161
000029	Mat 1:3		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000030	Mat 1:3		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000031	Mat 1:3		Φαρὲς			Φάρες	N-ASM	Perez	法勒斯	-	93.374	05329
000032	Mat 1:3		καὶ			καί	CONJ	and	和	-	89.92	02532
000033	Mat 1:3		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000034	Mat 1:3		Ζαρὰ			Ζαρά	N-ASM	Zerah	謝拉	-	93.135	02196
000035	Mat 1:3		ἐκ			ἐκ	PREP	out of	從	-	89.77	01537
000036	Mat 1:3		τῆς			ὀ	T-GSF	-	-	-	92.24	03588
000037	Mat 1:3		Θάμαρ	,		Θάμαρ	N-GSF	Tamar	她瑪	-	93.151	02283
000038	Mat 1:3		Φαρὲς			Φάρες	N-NSM	Perez	法勒斯	-	93.374	05329
000039	Mat 1:3		δὲ			δέ	CONJ	then	-	-	89.87	01161
000040	Mat 1:3		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000041	Mat 1:3		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000042	Mat 1:3		Ἑσρώμ	,		Ἐσρώμ	N-ASM	Hezron	希斯崙	-	93.127	02074
000043	Mat 1:3		Ἑσρὼμ			Ἐσρώμ	N-NSM	Hezron	希斯崙	-	93.127	02074
000044	Mat 1:3		δὲ			δέ	CONJ	then	-	-	89.87	01161
000045	Mat 1:3		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000046	Mat 1:3		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000047	Mat 1:3		Ἀράμ	,		Ἀράμ	N-ASM	Ram	亞蘭	-	93.35	00689
000048	Mat 1:4		Ἀρὰμ			Ἀράμ	N-NSM	Ram	亞蘭	-	93.35	00689
000049	Mat 1:4		δὲ			δέ	CONJ	then	-	-	89.87	01161
000050	Mat 1:4		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000051	Mat 1:4		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000052	Mat 1:4		Ἀμιναδάβ	,		Ἀμιναδάβ	N-ASM	Amminadab	亞米拿達	-	93.2	00284
000053	Mat 1:4		Ἀμιναδὰβ			Ἀμιναδάβ	N-NSM	Amminadab	亞米拿達	-	93.2	00284
000054	Mat 1:4		δὲ			δέ	CONJ	then	-	-	89.87	01161
000055	Mat 1:4		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000056	Mat 1:4		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000057	Mat 1:4		Ναασσών	,		Ναασσών	N-ASM	Nahshon	拿順	-	93.267	03476
000058	Mat 1:4		Ναασσὼν			Ναασσών	N-NSM	Nahshon	拿順	-	93.267	03476
000059	Mat 1:4		δὲ			δέ	CONJ	then	-	-	89.87	01161
000060	Mat 1:4		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000061	Mat 1:4		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000062	Mat 1:4		Σαλμών	,		Σαλμών	N-ASM	Salmon	撒門	-	93.323	04533
000063	Mat 1:5		Σαλμὼν			Σαλμών	N-NSM	Salmon	撒門	-	93.323	04533
000064	Mat 1:5		δὲ			δέ	CONJ	then	-	-	89.87	01161
000065	Mat 1:5		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000066	Mat 1:5		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000067	Mat 1:5		Βόες			Βοόζ	N-ASM	Boaz	波阿斯	-	93.78	01003
000068	Mat 1:5		ἐκ			ἐκ	PREP	out of	從	-	89.77	01537
000069	Mat 1:5		τῆς			ὀ	T-GSF	-	-	-	92.24	03588
000070	Mat 1:5		Ῥαχάβ	,		Ῥαχάβ	N-GSF	Rahab	喇合	-	93.309	04477
000071	Mat 1:5		Βόες			Βοόζ	N-NSM	Boaz	波阿斯	-	93.78	01003
000072	Mat 1:5		δὲ			δέ	CONJ	then	-	-	89.87	01161
000073	Mat 1:5		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000074	Mat 1:5		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000075	Mat 1:5		Ἰωβὴδ			Ὠβήδ	N-ASM	Obed	俄備得	-	93.192	05601
000076	Mat 1:5		ἐκ			ἐκ	PREP	out of	從	-	89.77	01537
000077	Mat 1:5		τῆς			ὀ	T-GSF	-	-	-	92.24	03588
000078	Mat 1:5		Ῥούθ	,		Ῥούθ	N-GSF	Ruth	路得	-	93.316	04503
000079	Mat 1:5		Ἰωβὴδ			Ὠβήδ	N-NSM	Obed	俄備得	-	93.192	05601
000080	Mat 1:5		δὲ			δέ	CONJ	then	-	-	89.87	01161
000081	Mat 1:5		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000082	Mat 1:5		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000083	Mat 1:5		Ἰεσσαί	,		Ἰεσσαί	N-ASM	Jesse	耶西	-	93.166	02421
000084	Mat 1:6		Ἰεσσαὶ			Ἰεσσαί	N-NSM	Jesse	耶西	-	93.166	02421
000085	Mat 1:6		δὲ			δέ	CONJ	then	-	-	89.87	01161
000086	Mat 1:6		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000087	Mat 1:6		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000088	Mat 1:6		Δαυὶδ			Δαυίδ	N-ASM	David	大衛	-	93.91	01138
000089	Mat 1:6		τὸν			ὀ	T-ASM	the	-	-	92.24	03588
000090	Mat 1:6		βασιλέα	.	¶	βασιλεύς	N-ASM	king	王	-	37.67	00935
000091	Mat 1:6		Δαυὶδ			Δαυίδ	N-NSM	David	大衛	-	93.91	01138
000092	Mat 1:6		δὲ			δέ	CONJ	then	-	-	89.87	01161
000093	Mat 1:6		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000094	Mat 1:6		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000095	Mat 1:6		Σολομῶνα			Σολομών, Σαλωμών	N-ASM	Solomon	所羅門	-	93.344	04672
000096	Mat 1:6		ἐκ			ἐκ	PREP	out of	從	-	89.77	01537
000097	Mat 1:6		τῆς			ὀ	T-GSF	the [wife]	-	-	92.24	03588
000098	Mat 1:6		τοῦ			ὀ	T-GSM	-	-	-	92.24	03588
000099	Mat 1:6		Οὐρίου	,		Οὐρίας	N-GSM	of Uriah	烏利亞	-	93.291	03774
000100	Mat 1:7		Σολομὼν			Σολομών, Σαλωμών	N-NSM	Solomon	所羅門	-	93.344	04672
000101	Mat 1:7		δὲ			δέ	CONJ	then	-	-	89.87	01161
000102	Mat 1:7		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000103	Mat 1:7		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000104	Mat 1:7		Ῥοβοάμ	,		Ῥοβοάμ	N-ASM	Rehoboam	羅波安	-	93.313	04497
000105	Mat 1:7		Ῥοβοὰμ			Ῥοβοάμ	N-NSM	Rehoboam	羅波安	-	93.313	04497
000106	Mat 1:7		δὲ			δέ	CONJ	then	-	-	89.87	01161
000107	Mat 1:7		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000108	Mat 1:7		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000109	Mat 1:7		Ἀβιά	,		Ἀβιά	N-ASM	Abijah	亞比雅	-	93.4	00007
000110	Mat 1:7		Ἀβιὰ			Ἀβιά	N-NSM	Abijah	亞比雅	-	93.4	00007
000111	Mat 1:7		δὲ			δέ	CONJ	then	-	-	89.87	01161
000112	Mat 1:7		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000113	Mat 1:7		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000114	Mat 1:7		Ἀσάφ	,		Ἀσά	N-ASM	Asa	亞撒	-	93.48	00760
000115	Mat 1:8		Ἀσὰφ			Ἀσά	N-NSM	Asa	亞撒	-	93.48	00760
000116	Mat 1:8		δὲ			δέ	CONJ	then	-	-	89.87	01161
000117	Mat 1:8		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000118	Mat 1:8		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000119	Mat 1:8		Ἰωσαφάτ	,		Ἰωσαφάτ	N-ASM	Jehoshaphat	約沙法	-	93.2	02498
000120	Mat 1:8		Ἰωσαφὰτ			Ἰωσαφάτ	N-NSM	Jehoshaphat	約沙法	-	93.2	02498
000121	Mat 1:8		δὲ			δέ	CONJ	then	-	-	89.87	01161
000122	Mat 1:8		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000123	Mat 1:8		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000124	Mat 1:8		Ἰωράμ	,		Ἰωράμ	N-ASM	Joram	約蘭	-	93.198	02496
000125	Mat 1:8		Ἰωρὰμ			Ἰωράμ	N-NSM	Joram	約蘭	-	93.198	02496
000126	Mat 1:8		δὲ			δέ	CONJ	then	-	-	89.87	01161
000127	Mat 1:8		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000128	Mat 1:8		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000129	Mat 1:8		Ὀζίαν	,		Ὀζίας	N-ASM	Uzziah	烏西雅	-	93.286	03604
000130	Mat 1:9		Ὀζίας			Ὀζίας	N-NSM	Uzziah	烏西雅	-	93.286	03604
000131	Mat 1:9		δὲ			δέ	CONJ	then	-	-	89.87	01161
000132	Mat 1:9		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000133	Mat 1:9		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000134	Mat 1:9		Ἰωαθάμ	,		Ἰωάθαμ	N-ASM	Jotham	約坦	-	93.185	02488
000135	Mat 1:9		Ἰωαθὰμ			Ἰωάθαμ	N-NSM	Jotham	約坦	-	93.185	02488
000136	Mat 1:9		δὲ			δέ	CONJ	then	-	-	89.87	01161
000137	Mat 1:9		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000138	Mat 1:9		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000139	Mat 1:9		Ἄχαζ	,		Ἀχάζ	N-ASM	Ahaz	亞哈斯	-	93.53	00881
000140	Mat 1:9		Ἄχαζ			Ἀχάζ	N-NSM	Ahaz	亞哈斯	-	93.53	00881
000141	Mat 1:9		δὲ			δέ	CONJ	then	-	-	89.87	01161
000142	Mat 1:9		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000143	Mat 1:9		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000144	Mat 1:9		Ἑζεκίαν	,		Ἐζεκίας	N-ASM	Hezekiah	希西家	-	93.106	01478
000145	Mat 1:10		Ἑζεκίας			Ἐζεκίας	N-NSM	Hezekiah	希西家	-	93.106	01478
000146	Mat 1:10		δὲ			δέ	CONJ	then	-	-	89.87	01161
000147	Mat 1:10		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000148	Mat 1:10		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000149	Mat 1:10		Μανασσῆ	,		Μανασσῆς	N-ASM	Manasseh	瑪拿西	-	93.251	03128
000150	Mat 1:10		Μανασσῆς			Μανασσῆς	N-NSM	Manasseh	瑪拿西	-	93.251	03128
000151	Mat 1:10		δὲ			δέ	CONJ	then	-	-	89.87	01161
000152	Mat 1:10		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000153	Mat 1:10		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000154	Mat 1:10		Ἀμώς	,		Ἀμώς	N-ASM	Amos	亞們	-	93.23	00301
000155	Mat 1:10		Ἀμὼς			Ἀμώς	N-NSM	Amos	亞們	-	93.23	00301
000156	Mat 1:10		δὲ			δέ	CONJ	then	-	-	89.87	01161
000157	Mat 1:10		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000158	Mat 1:10		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000159	Mat 1:10		Ἰωσίαν	,		Ἰωσίας	N-ASM	Josiah	約西亞	-	93.204	02502
000160	Mat 1:11		Ἰωσίας			Ἰωσίας	N-NSM	Josiah	約西亞	-	93.204	02502
000161	Mat 1:11		δὲ			δέ	CONJ	then	-	-	89.87	01161
000162	Mat 1:11		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000163	Mat 1:11		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000164	Mat 1:11		Ἰεχονίαν			Ἰεχονίας	N-ASM	Jeconiah	耶哥尼雅	-	93.168	02423
000165	Mat 1:11		καὶ			καί	CONJ	and	和	-	89.92	02532
000166	Mat 1:11		τοὺς			ὀ	T-APM	the	-	-	92.24	03588
000167	Mat 1:11		ἀδελφοὺς			ἀδελφός	N-APM	brothers	兄弟姊妹	-	10.49	00080
000168	Mat 1:11		αὐτοῦ			αὐτός	P-GSM	of him	他	-	92.11	00846
000169	Mat 1:11		ἐπὶ			ἐπί	PREP	at [the time]	當	-	67.33	01909
000170	Mat 1:11		τῆς			ὀ	T-GSF	of the	-	-	92.24	03588
000171	Mat 1:11		μετοικεσίας			μετοικεσία	N-GSF	carrying away	放逐	-	85.83	03350
000172	Mat 1:11		Βαβυλῶνος	.	¶	Βαβυλών	N-GSF	to Babylon	到巴比倫	-	93.42	00897
000173	Mat 1:12		Μετὰ			μετά	PREP	After	之後	-	67.48	03326
000174	Mat 1:12		δὲ			δέ	CONJ	then	-	-	89.87	01161
000175	Mat 1:12		τὴν			ὀ	T-ASF	the	-	-	92.24	03588
000176	Mat 1:12		μετοικεσίαν			μετοικεσία	N-ASF	carrying away	放逐	-	85.83	03350
000177	Mat 1:12		Βαβυλῶνος			Βαβυλών	N-GSF	to Babylon	到巴比倫	-	93.42	00897
000178	Mat 1:12		Ἰεχονίας			Ἰεχονίας	N-NSM	Jeconiah	耶哥尼雅	-	93.168	02423
000179	Mat 1:12		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000180	Mat 1:12		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000181	Mat 1:12		Σαλαθιήλ	,		Σαλαθιήλ	N-ASM	Shealtiel	撒拉鐵	-	93.32	04528
000182	Mat 1:12		Σαλαθιὴλ			Σαλαθιήλ	N-NSM	Shealtiel	撒拉鐵	-	93.32	04528
000183	Mat 1:12		δὲ			δέ	CONJ	then	-	-	89.87	01161
000184	Mat 1:12		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000185	Mat 1:12		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000186	Mat 1:12		Ζοροβαβέλ	,		Ζοροβάβελ	N-ASM	Zerubbabel	所羅巴伯	-	93.14	02216
000187	Mat 1:13		Ζοροβαβὲλ			Ζοροβάβελ	N-NSM	Zerubbabel	所羅巴伯	-	93.14	02216
000188	Mat 1:13		δὲ			δέ	CONJ	then	-	-	89.87	01161
000189	Mat 1:13		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000190	Mat 1:13		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000191	Mat 1:13		Ἀβιούδ	,		Ἀβιούδ	N-ASM	Abiud	亞比玉	-	93.6	00010
000192	Mat 1:13		Ἀβιοὺδ			Ἀβιούδ	N-NSM	Abiud	亞比玉	-	93.6	00010
000193	Mat 1:13		δὲ			δέ	CONJ	then	-	-	89.87	01161
000194	Mat 1:13		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000195	Mat 1:13		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000196	Mat 1:13		Ἐλιακίμ	,		Ἐλιακείμ	N-ASM	Eliakim	以利亞敬	-	93.108	01662
000197	Mat 1:13		Ἐλιακὶμ			Ἐλιακείμ	N-NSM	Eliakim	以利亞敬	-	93.108	01662
000198	Mat 1:13		δὲ			δέ	CONJ	then	-	-	89.87	01161
000199	Mat 1:13		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000200	Mat 1:13		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000201	Mat 1:13		Ἀζώρ	,		Ἀζώρ	N-ASM	Azor	亞所	-	93.14	00107
000202	Mat 1:14		Ἀζὼρ			Ἀζώρ	N-NSM	Azor	亞所	-	93.14	00107
000203	Mat 1:14		δὲ			δέ	CONJ	then	-	-	89.87	01161
000204	Mat 1:14		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000205	Mat 1:14		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000206	Mat 1:14		Σαδώκ	,		Σαδώκ	N-ASM	Zadok	撒督	-	93.318	04524
000207	Mat 1:14		Σαδὼκ			Σαδώκ	N-NSM	Zadok	撒督	-	93.318	04524
000208	Mat 1:14		δὲ			δέ	CONJ	then	-	-	89.87	01161
000209	Mat 1:14		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000210	Mat 1:14		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000211	Mat 1:14		Ἀχίμ	,		Ἀχείμ	N-ASM	Achim	亞金	-	93.55	00885
000212	Mat 1:14		Ἀχὶμ			Ἀχείμ	N-NSM	Achim	亞金	-	93.55	00885
000213	Mat 1:14		δὲ			δέ	CONJ	then	-	-	89.87	01161
000214	Mat 1:14		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000215	Mat 1:14		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000216	Mat 1:14		Ἐλιούδ	,		Ἐλιούδ	N-ASM	Eliud	以律	-	93.11	01664
000217	Mat 1:15		Ἐλιοὺδ			Ἐλιούδ	N-NSM	Eliud	以律	-	93.11	01664
000218	Mat 1:15		δὲ			δέ	CONJ	then	-	-	89.87	01161
000219	Mat 1:15		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000220	Mat 1:15		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000221	Mat 1:15		Ἐλεάζαρ	,		Ἐλεάζαρ	N-ASM	Eleazar	以利亞撒	-	93.107	01648
000222	Mat 1:15		Ἐλεάζαρ			Ἐλεάζαρ	N-NSM	Eleazar	以利亞撒	-	93.107	01648
000223	Mat 1:15		δὲ			δέ	CONJ	then	-	-	89.87	01161
000224	Mat 1:15		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000225	Mat 1:15		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000226	Mat 1:15		Ματθάν	,		Ματθάν	N-ASM	Matthan	馬但	-	93.256	03157
000227	Mat 1:15		Ματθὰν			Ματθάν	N-NSM	Matthan	馬但	-	93.256	03157
000228	Mat 1:15		δὲ			δέ	CONJ	then	-	-	89.87	01161
000229	Mat 1:15		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000230	Mat 1:15		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000231	Mat 1:15		Ἰακώβ	,		Ἰακώβ	N-ASM	Jacob	雅各	-	93.157	02384
000232	Mat 1:16		Ἰακὼβ			Ἰακώβ	N-NSM	Jacob	雅各	-	93.157	02384
000233	Mat 1:16		δὲ			δέ	CONJ	then	-	-	89.87	01161
000234	Mat 1:16		ἐγέννησεν			γεννάω	V-AAI-3S	begat	生	-	23.58	01080
000235	Mat 1:16		τὸν			ὀ	T-ASM	-	-	-	92.24	03588
000236	Mat 1:16		Ἰωσὴφ			Ἰωσήφ	N-ASM	Joseph	約瑟	-	93.202	02501
000237	Mat 1:16		τὸν			ὀ	T-ASM	the	-	-	92.24	03588
000238	Mat 1:16		ἄνδρα			ἀνήρ	N-ASM	husband	丈夫	-	10.53	00435
000239	Mat 1:16		Μαρίας	,		Μαρία	N-GSF	of Mary	馬利亞	-	93.253	03137
000240	Mat 1:16		ἐξ			ἐκ	PREP	out of	從	-	89.77	01537
000241	Mat 1:16		ἧς			ὅς	R-GSF	whom	她	-	92.27	03739
000242	Mat 1:16		ἐγεννήθη			γεννάω	V-API-3S	was born	所生	-	23.58	01080
000243	Mat 1:16		Ἰησοῦς			Ἰησοῦς	N-NSM	Jesus	耶穌	-	93.169	02424
000244	Mat 1:16		ὁ			ὀ	T-NSM	the [One]	那	-	92.24	03588
000245	Mat 1:16		λεγόμενος			λέγω	V-PPP-NSM	being called	被稱為	-	33.131	03004
000246	Mat 1:16		Χριστός	.	¶	Χριστός	N-NSM	Christ	基督	-	53.82	05547
000247	Mat 1:17		Πᾶσαι			πᾶς	A-NPF	All	所有	-	59.23	03956
000248	Mat 1:17		οὖν			οὖν	CONJ	therefore	這樣	-	89.5	03767
000249	Mat 1:17		αἱ			ὀ	T-NPF	the	-	-	92.24	03588
000250	Mat 1:17		γενεαὶ			γενεά	N-NPF	generations	代	-	10.28	01074
000251	Mat 1:17		ἀπὸ			ἀπό	PREP	from	從	-	67.131	00575
000252	Mat 1:17		Ἀβραὰμ			Ἀβραάμ	N-GSM	Abraham	亞伯拉罕	-	93.7	00011
000253	Mat 1:17		ἕως			ἕως	PREP	to	到	-	67.119	02193
000254	Mat 1:17		Δαυὶδ			Δαυίδ	N-GSM	David [were]	大衛	-	93.91	01138
000255	Mat 1:17		γενεαὶ			γενεά	N-NPF	generations	代	-	10.28	01074
000256	Mat 1:17		δεκατέσσαρες	,		δεκατέσσαρες	A-NPF	fourteen	十四	-	60.22	01180
000257	Mat 1:17		καὶ			καί	CONJ	and	也	-	89.93	02532
000258	Mat 1:17		ἀπὸ			ἀπό	PREP	from	從	-	84.3	00575
000259	Mat 1:17		Δαυὶδ			Δαυίδ	N-GSM	David	大衛	-	93.91	01138
000260	Mat 1:17		ἕως			ἕως	PREP	until	到	-	84.19	02193
000261	Mat 1:17		τῆς			ὀ	T-GSF	the	-	-	92.24	03588
000262	Mat 1:17		μετοικεσίας			μετοικεσία	N-GSF	carrying away	放逐	-	85.83	03350
000263	Mat 1:17		Βαβυλῶνος			Βαβυλών	N-GSF	to Babylon	到巴比倫	-	93.42	00897
000264	Mat 1:17		γενεαὶ			γενεά	N-NPF	generations	代	-	10.28	01074
000265	Mat 1:17		δεκατέσσαρες	,		δεκατέσσαρες	A-NPF	fourteen	十四	-	60.22	01180
000266	Mat 1:17		καὶ			καί	CONJ	and	也	-	89.93	02532
000267	Mat 1:17		ἀπὸ			ἀπό	PREP	from	從	-	67.131	00575
000268	Mat 1:17		τῆς			ὀ	T-GSF	the	-	-	92.24	03588
000269	Mat 1:17		μετοικεσίας			μετοικεσία	N-GSF	carrying away	放逐	-	85.83	03350
000270	Mat 1:17		Βαβυλῶνος			Βαβυλών	N-GSF	to Babylon	到巴比倫	-	93.42	00897
000271	Mat 1:17		ἕως			ἕως	PREP	until	到	-	84.19	02193
000272	Mat 1:17		τοῦ			ὀ	T-GSM	the	-	-	92.24	03588
000273	Mat 1:17		Χριστοῦ			Χριστός	N-GSM	Christ	基督	-	93.387	05547
000274	Mat 1:17		γενεαὶ			γενεά	N-NPF	generations	代	-	10.28	01074
000275	Mat 1:17		δεκατέσσαρες	.	¶	δεκατέσσαρες	A-NPF	fourteen	十四	-	60.22	01180
000276	Mat 1:18		Τοῦ			ὀ	T-GSM	-	-	-	92.24	03588
000277	Mat 1:18		δὲ			δέ	CONJ	Now	-	-	89.94	01161
000278	Mat 1:18		Ἰησοῦ			Ἰησοῦς	N-GSM	of Jesus	耶穌	-	93.169	02424
000279	Mat 1:18		Χριστοῦ			Χριστός	N-GSM	Christ	基督	-	93.387	05547
000280	Mat 1:18		ἡ			ὀ	T-NSF	the	-	-	92.24	03588
000281	Mat 1:18		γένεσις			γένεσις	N-NSF	birth	降生	-	23.46	01078
000282	Mat 1:18		οὕτως			οὕτω, οὕτως	ADV	thus	這樣	-	61.1	03779
000283	Mat 1:18		ἦν	.		εἰμί	V-IAI-3S	came about	是	-	13.104	01510
000284	Mat 1:18		μνηστευθείσης			μνηστεύω	V-APP-GSF	Having been pledged	已經被許配	-	34.74	03423
000285	Mat 1:18		τῆς			ὀ	T-GSF	the	-	-	92.24	03588
000286	Mat 1:18		μητρὸς			μήτηρ	N-GSF	mother	母親	-	10.16	03384
000287	Mat 1:18		αὐτοῦ			αὐτός	P-GSM	of Him	他	-	92.11	00846
000288	Mat 1:18		Μαρίας			Μαρία	N-GSF	Mary	馬利亞	-	93.253	03137
000289	Mat 1:18		τῷ			ὀ	T-DSM	-	-	-	92.24	03588
000290	Mat 1:18		Ἰωσήφ	,		Ἰωσήφ	N-DSM	to Joseph	約瑟	-	93.202	02501
000291	Mat 1:18		πρὶν			πρίν	ADV	before	還沒有	-	67.17	04250
