OGNTsort	OGNTa	RMAC
026334	ἔρχονται	V-PNI-3P
026422	ἔσται	V-FDI-3S
026515	ἀπεκρίθη	V-ADI-3S
026524	Ἀπεκρίθη	V-ADI-3S
026640	ἀπεκρίθη	V-ADI-3S
026658	ἀποκριθεὶς	V-AOP-NSM
026689	Κάθου	V-PNM-2S
026759	προσευχόμενοι	V-PNP-NPM
026761	λήμψονται	V-FDI-3P
026795	προσκαλεσάμενος	V-ADP-NSM
026840	ἐκπορευομένου	V-PNP-GSM
026880	καθημένου	V-PNP-GSM
026905	ἔσται	V-FDI-3S
026918	ἤρξατο	V-ADI-3S
026927	ἐλεύσονται	V-FDI-3P
026963	ἔσονται	V-FDI-3P
026967	ἔσονται	V-FDI-3P
027046	ἐπαναστήσονται	V-FDI-3P
027054	ἔσεσθε	V-FDI-2P
027134	προσεύχεσθε	V-PNM-2P
027140	ἔσονται	V-FDI-3P
027245	ἔσονται	V-FDI-3P
027260	ὄψονται	V-FDI-3P
027265	ἐρχόμενον	V-PNP-ASM
027323	γινόμενα	V-PNP-APN
027350	παρελεύσονται	V-FDI-3P
027357	παρελεύσονται	V-FDI-3P
027410	ἐνετείλατο	V-ADI-3S
027423	ἔρχεται	V-PNI-3S
027475	ἔσται	V-FDI-3S
027490	κατακειμένου	V-PNP-GSM
027521	ἠδύνατο	V-INI-3S
027535	ἐνεβριμῶντο	V-INI-3P
027549	ἠργάσατο	V-ADI-3S
027562	δύνασθε	V-PNI-2P
027623	ἐπηγγείλαντο	V-ANI-3P
027735	ἔρχεται	V-PNI-3S
027740	ἀνακειμένων	V-PNP-GPM
027760	ἤρξαντο	V-ADI-3P
027952	ἀπαρνήσῃ	V-FDI-2S
027965	ἀπαρνήσομαι	V-FDI-1S
027972	ἔρχονται	V-PNI-3P
027987	προσεύξωμαι	V-ADS-1S
028001	ἤρξατο	V-ADI-3S
028027	προσηύχετο	V-INI-3S
028060	ἔρχεται	V-PNI-3S
028078	προσεύχεσθε	V-PNM-2P
028095	προσηύξατο	V-ADI-3S
028116	ἀποκριθῶσιν	V-AOS-3P
028119	ἔρχεται	V-PNI-3S
028157	παραγίνεται	V-PNI-3S
028235	ἀποκριθεὶς	V-AOP-NSM
028300	συνέρχονται	V-PNI-3P
028326	συνκαθήμενος	V-PNP-NSM
028411	ἀποκρίνῃ	V-PNI-2S
028422	ἀπεκρίνατο	V-ADI-3S
028447	ὄψεσθε	V-FDI-2P
028454	καθήμενον	V-PNP-ASM
028458	ἐρχόμενον	V-PNP-ASM
028492	ἤρξαντό	V-ADI-3P
028522	ἔρχεται	V-PNI-3S
028546	ἠρνήσατο	V-ADI-3S
028551	ἐπίσταμαι	V-PNI-1S
028569	ἤρξατο	V-ADI-3S
028582	ἠρνεῖτο	V-INI-3S
028602	ἤρξατο	V-ADI-3S
028638	ἀπαρνήσῃ	V-FDI-2S
028678	ἀποκριθεὶς	V-AOP-NSM
028697	ἀποκρίνῃ	V-PNI-2S
028708	ἀπεκρίθη	V-ADI-3S
028721	παρῃτοῦντο	V-INI-3P
028741	ἤρξατο	V-ADI-3S
028749	ἀπεκρίθη	V-ADI-3S
028784	ἀποκριθεὶς	V-AOP-NSM
028821	βουλόμενος	V-PNP-NSM
028865	ἤρξαντο	V-ADI-3P
028866	ἀσπάζεσθαι	V-PNN
028913	ἐρχόμενον	V-PNP-ASM
028997	παραπορευόμενοι	V-PNP-NPM
029037	δύναται	V-PNI-3S
029123	ἔρχεται	V-PNI-3S
029230	προσδεχόμενος	V-PNP-NSM
029254	προσκαλεσάμενος	V-ADP-NSM
029267	ἐδωρήσατο	V-ADI-3S
029337	ἔρχονται	V-PNI-3P
029376	καθήμενον	V-PNP-ASM
029424	ὄψεσθε	V-FDI-2P
029444	ἐφοβοῦντο	V-INI-3P
029462	πορευθεῖσα	V-AOP-NSF
029491	πορευομένοις	V-PNP-DPM
029504	ἀνακειμένοις	V-PNP-DPM
029518	θεασαμένοις	V-ADP-DPM
029526	Πορευθέντες	V-AOP-NPM
029654	ἀνατάξασθαι	V-ADN
029727	πορευόμενοι	V-PNP-NPM
029791	προσευχόμενον	V-PNP-NSN
029825	φοβοῦ	V-PNM-2S
029847	ἔσται	V-FDI-3S
029859	ἔσται	V-FDI-3S
029894	προελεύσεται	V-FDI-3S
029924	γνώσομαι	V-FDI-1S
029940	ἀποκριθεὶς	V-AOP-NSM
029964	ἔσῃ	V-FDI-2S
029968	δυνάμενος	V-PNP-NSM
030007	ἐδύνατο	V-INI-3S
030124	διελογίζετο	V-INI-3S
030136	φοβοῦ	V-PNM-2S
030146	συλλήμψῃ	V-FDI-2S
030150	τέξῃ	V-FDI-2S
030159	ἔσται	V-FDI-3S
030191	ἔσται	V-FDI-3S
030200	ἔσται	V-FDI-3S
030207	ἀποκριθεὶς	V-AOP-NSM
030214	ἐπελεύσεται	V-FDI-3S
030286	ἐπορεύθη	V-AOI-3S
030302	ἠσπάσατο	V-ADI-3S
030385	ἔσται	V-FDI-3S
030450	φοβουμένοις	V-PNP-DPM
030564	ἀποκριθεῖσα	V-AOP-NSF
030662	ἔσται	V-FDI-3S
030688	ἐπεσκέψατο	V-ADI-3S
030772	προπορεύσῃ	V-FDI-2S
030797	ἐπισκέψεται	V-FDI-3S
030809	καθημένοις	V-PNP-DPM
030861	ἐπορεύοντο	V-INI-3P
030970	ἐφοβήθησαν	V-AOI-3P
030979	φοβεῖσθε	V-PNM-2P
030987	ἔσται	V-FDI-3S
031012	κείμενον	V-PNP-ASN
031086	κείμενον	V-PNP-ASN
031240	προσδεχόμενος	V-PNP-NSM
031298	ἐδέξατο	V-ADI-3S
031372	κεῖται	V-PNI-3S
031391	διελεύσεται	V-FDI-3S
031432	ἀφίστατο	V-INI-3S
031447	ἀνθωμολογεῖτο	V-INI-3S
031456	προσδεχομένοις	V-PNP-DPM
031491	ἐπορεύοντο	V-INI-3P
031572	καθεζόμενον	V-PNP-ASM
031782	ἔσται	V-FDI-3S
031794	ὄψεται	V-FDI-3S
031804	ἐκπορευομένοις	V-PNP-DPM
031839	δύναται	V-PNI-3S
031860	κεῖται	V-PNI-3S
031882	Ἀποκριθεὶς	V-AOP-NSM
031951	διαλογιζομένων	V-PNP-GPM
031965	ἀπεκρίνατο	V-ADI-3S
031975	ἔρχεται	V-PNI-3S
032078	προσευχομένου	V-PNP-GSM
032327	ἀπεκρίθη	V-ADI-3S
032338	ζήσεται	V-FDI-3S
032384	ἔσται	V-FDI-3S
032388	ἀποκριθεὶς	V-AOP-NSM
032433	ἐντελεῖται	V-FNI-3S
032453	ἀποκριθεὶς	V-AOP-NSM
032593	ἤρξατο	V-ADI-3S
032620	ἐκπορευομένοις	V-PNP-DPM
032778	ἐπορεύετο	V-INI-3S
032887	ἐξέρχονται	V-PNI-3P
032889	ἐξεπορεύετο	V-INI-3S
032960	ἐξήρχετο	V-INI-3S
032992	ἐπορεύθη	V-AOI-3S
033010	πορεύεσθαι	V-PNN
033048	ἐπικεῖσθαι	V-PNN
033125	ἀποκριθεὶς	V-AOP-NSM
033231	φοβοῦ	V-PNM-2S
033236	ἔσῃ	V-FDI-2S
033277	δύνασαί	V-PNI-2S
033284	ἥψατο	V-ADI-3S
033320	Διήρχετο	V-INI-3S
033328	συνήρχοντο	V-INI-3P
033346	προσευχόμενος	V-PNP-NSM
033359	καθήμενοι	V-PNP-NPM
033381	ἰᾶσθαι	V-PNN
033442	ἤρξαντο	V-ADI-3P
033443	διαλογίζεσθαι	V-PNN
033457	δύναται	V-PNI-3S
033472	ἀποκριθεὶς	V-AOP-NSM
033477	διαλογίζεσθε	V-PNI-2P
033522	πορεύου	V-PNM-2S
033535	κατέκειτο	V-INI-3S
033565	ἐθεάσατο	V-ADI-3S
033569	καθήμενον	V-PNP-ASM
033605	κατακείμενοι	V-PNP-NPM
033630	ἀποκριθεὶς	V-AOP-NSM
033685	δύνασθε	V-PNI-2P
033699	ἐλεύσονται	V-FDI-3P
033800	διαπορεύεσθαι	V-PNN
033829	ἀποκριθεὶς	V-AOP-NSM
034014	προσεύξασθαι	V-ADN
034137	ἐξήρχετο	V-INI-3S
034139	ἰᾶτο	V-INI-3S
034284	καταρωμένους	V-PNP-APM
034286	προσεύχεσθε	V-PNM-2P
034402	ἔσται	V-FDI-3S
034408	ἔσεσθε	V-FDI-2P
034420	Γίνεσθε	V-PNM-2P
034472	δύναται	V-PNI-3S
034480	ἐμπεσοῦνται	V-FNI-3P
034490	ἔσται	V-FDI-3S
034518	δύνασαι	V-PNI-2S
034640	ἐρχόμενος	V-PNP-NSM
034796	ἐπορεύετο	V-INI-3S
034857	Πορεύθητι	V-AOM-2S
034859	πορεύεται	V-PNI-3S
034862	Ἔρχου	V-PNM-2S
034864	ἔρχεται	V-PNI-3S
034912	ἐπορεύθη	V-AOI-3S
034918	συνεπορεύοντο	V-INI-3P
034959	ἐσπλαγχνίσθη	V-AOI-3S
034969	ἥψατο	V-ADI-3S
034987	ἤρξατο	V-ADI-3S
035012	Ἐπεσκέψατο	V-ADI-3S
035043	προσκαλεσάμενος	V-ADP-NSM
035059	ἐρχόμενος	V-PNP-NSM
035081	ἐρχόμενος	V-PNP-NSM
035101	ἐχαρίσατο	V-ADI-3S
035104	ἀποκριθεὶς	V-AOP-NSM
035107	Πορευθέντες	V-AOP-NPM
035141	ἤρξατο	V-ADI-3S
035153	θεάσασθαι	V-ADN
035280	καθημένοις	V-PNP-DPN
035290	ὠρχήσασθε	V-ADI-2P
035368	κατάκειται	V-PNI-3S
035387	ἤρξατο	V-ADI-3S
035437	ἀποκριθεὶς	V-AOP-NSM
035472	ἐχαρίσατο	V-ADI-3S
035479	Ἀποκριθεὶς	V-AOP-NSM
035487	ἐχαρίσατο	V-ADI-3S
035585	ἤρξαντο	V-ADI-3P
035587	συνανακείμενοι	V-PNP-NPM
035608	πορεύου	V-PNM-2S
035681	ἐπιπορευομένων	V-PNP-GPM
035820	ἔρχεται	V-PNI-3S
035845	δέχονται	V-PNI-3P
035861	ἀφίστανται	V-PNI-3P
035881	πορευόμενοι	V-PNP-NPM
035925	εἰσπορευόμενοι	V-PNP-NPM
035936	γενήσεται	V-FDI-3S
035981	ἠδύναντο	V-INI-3P
036004	ἀποκριθεὶς	V-AOP-NSM
036096	Φοβηθέντες	V-AOP-NPM
036179	δέομαί	V-PNI-1S
036319	καθήμενον	V-PNP-ASM
036336	ἐφοβήθησαν	V-AOI-3P
036345	δαιμονισθείς	V-AOP-NSM
036392	διηγοῦ	V-PNM-2S
036416	ἀπεδέξατο	V-ADI-3S
036494	ἥψατο	V-ADI-3S
036516	Ἀρνουμένων	V-PNP-GPM
036533	Ἥψατό	V-ADI-3S
036558	ἥψατο	V-ADI-3S
036579	πορεύου	V-PNM-2S
036585	ἔρχεταί	V-PNI-3S
036604	ἀπεκρίθη	V-ADI-3S
036607	φοβοῦ	V-PNM-2S
036722	ἰᾶσθαι	V-PNN
036757	ἐξέρχεσθε	V-PNM-2P
036762	δέχωνται	V-PNS-3P
036764	ἐξερχόμενοι	V-PNP-NPM
036780	Ἐξερχόμενοι	V-PNP-NPM
036782	διήρχοντο	V-INI-3P
036796	γινόμενα	V-PNP-APN
036846	διηγήσαντο	V-ADI-3P
036867	ἀποδεξάμενος	V-ADP-NSM
036881	ἰᾶτο	V-INI-3S
036885	ἤρξατο	V-ADI-3S
036897	πορευθέντες	V-AOP-NPM
036937	πορευθέντες	V-AOP-NPM
037012	προσευχόμενον	V-PNP-ASM
037031	ἀποκριθέντες	V-AOP-NPM
037058	ἀποκριθεὶς	V-AOP-NSM
037106	ἔρχεσθαι	V-PNN
037107	ἀρνησάσθω	V-ADM-3S
037157	ἐπαισχυνθῇ	V-AOS-3S
037168	ἐπαισχυνθήσεται	V-FOI-3S
037194	γεύσωνται	V-ADS-3P
037223	προσεύξασθαι	V-ADN
037228	προσεύχεσθαι	V-PNN
037293	διαχωρίζεσθαι	V-PNN
037334	ἐφοβήθησαν	V-AOI-3P
037404	δέομαί	V-PNI-1S
037445	ἠδυνήθησαν	V-AOI-3P
037446	Ἀποκριθεὶς	V-AOP-NSM
037458	ἔσομαι	V-FDI-1S
037462	ἀνέξομαι	V-FDI-1S
037471	προσερχομένου	V-PNP-GSM
037488	ἰάσατο	V-ADI-3S
037552	ἐφοβοῦντο	V-INI-3P
037590	δέξηται	V-ADS-3S
037599	δέχεται	V-PNI-3S
037604	δέξηται	V-ADS-3S
037605	δέχεται	V-PNI-3S
037619	Ἀποκριθεὶς	V-AOP-NSM
037673	πορεύεσθαι	V-PNN
037683	πορευθέντες	V-AOP-NPM
037693	ἐδέξαντο	V-ADI-3P
037700	πορευόμενον	V-PNP-NSN
037727	ἐπορεύθησαν	V-AOI-3P
037732	πορευομένων	V-PNP-GPM
037745	ἀπέρχῃ	V-PNS-2S
037874	ἔρχεσθαι	V-PNN
037887	δεήθητε	V-AOM-2P
037921	ἀσπάσησθε	V-ADS-2P
037983	εἰσέρχησθε	V-PNS-2P
037985	δέχωνται	V-PNS-3P
038015	δέχωνται	V-PNS-3P
038056	ἔσται	V-FDI-3S
038086	καθήμενοι	V-PNP-NPM
038093	ἔσται	V-FDI-3S
038109	καταβήσῃ	V-FDI-2S
038207	ἠγαλλιάσατο	V-ADI-3S
038274	βούληται	V-PNS-3S
038344	ἀποκριθεὶς	V-AOP-NSM
038384	ἀπεκρίθης	V-ADI-2S
038388	ζήσῃ	V-FDI-2S
038462	ἐσπλαγχνίσθη	V-AOI-3S
038485	ἐπεμελήθη	V-AOI-3S
038509	ἐπανέρχεσθαί	V-PNN
038540	Πορεύου	V-PNM-2S
038548	πορεύεσθαι	V-PNN
038560	ὑπεδέξατο	V-ADI-3S
038570	παρακαθεσθεῖσα	V-AOP-NSF
038608	Ἀποκριθεὶς	V-AOP-NSM
038644	προσευχόμενον	V-PNP-ASM
038657	προσεύχεσθαι	V-PNN
038669	προσεύχησθε	V-PNS-2P
038719	πορεύσεται	V-FDI-3S
038747	ἀποκριθεὶς	V-AOP-NSM
038768	δύναμαι	V-PNI-1S
038972	ἔσονται	V-FDI-3P
039046	διέρχεται	V-PNI-3S
039071	πορεύεται	V-PNI-3S
039084	γίνεται	V-PNI-3S
039136	ἤρξατο	V-ADI-3S
039164	ἔσται	V-FDI-3S
039244	εἰσπορευόμενοι	V-PNP-NPM
039300	ἔσται	V-FDI-3S
039400	παρέρχεσθε	V-PNI-2P
039449	Ἀποκριθεὶς	V-AOP-NSM
039591	εἰσερχομένους	V-PNP-APM
039596	ἤρξαντο	V-ADI-3P
039627	ἤρξατο	V-ADI-3S
039687	φοβηθῆτε	V-AOS-2P
039705	φοβηθῆτε	V-AOS-2P
039706	φοβήθητε	V-AOM-2P
039721	φοβήθητε	V-AOM-2P
039748	φοβεῖσθε	V-PNM-2P
039779	ἀρνησάμενός	V-ADP-NSM
039829	ἀπολογήσησθε	V-ADS-2P
039913	διελογίζετο	V-INI-3S
039957	κείμενα	V-PNP-APN
039984	ἔσται	V-FDI-3S
040057	δύναται	V-PNI-3S
040068	δύνασθε	V-PNI-2P
040156	φοβοῦ	V-PNM-2S
040204	ἔσται	V-FDI-3S
040218	προσδεχομένοις	V-PNP-DPM
040284	ἔρχεται	V-PNI-3S
040294	γίνεσθε	V-PNM-2P
040305	ἔρχεται	V-PNI-3S
040384	ἔρχεσθαι	V-PNN
040511	ἔσονται	V-FDI-3P
040571	ἔρχεται	V-PNI-3S
040573	γίνεται	V-PNI-3S
040582	ἔσται	V-FDI-3S
040584	γίνεται	V-PNI-3S
040683	ἀποκριθεὶς	V-AOP-NSM
040779	ἔρχομαι	V-PNI-1S
040799	ἀποκριθεὶς	V-AOP-NSM
040853	δυναμένη	V-PNP-NSF
040884	Ἀποκριθεὶς	V-AOP-NSM
040905	ἐργάζεσθαι	V-PNN
040909	ἐρχόμενοι	V-PNP-NPM
040917	Ἀπεκρίθη	V-ADI-3S
040975	ἀντικείμενοι	V-PNP-NPM
040987	γινομένοις	V-PNP-DPN
041055	διεπορεύετο	V-INI-3S
041080	Ἀγωνίζεσθε	V-PNM-2P
041118	ἀποκριθεὶς	V-AOP-NSM
041156	ἔσται	V-FDI-3S
041207	ἔσονται	V-FDI-3P
041213	ἔσονται	V-FDI-3P
041226	πορεύου	V-PNM-2S
041236	Πορευθέντες	V-AOP-NPM
041263	πορεύεσθαι	V-PNN
041266	ἐνδέχεται	V-PNI-3S
041320	ἐρχόμενος	V-PNP-NSM
041354	ἀποκριθεὶς	V-AOP-NSM
041375	ἰάσατο	V-ADI-3S
041390	πεσεῖται	V-FDI-3S
041403	ἀνταποκριθῆναι	V-AON
041462	πορευθεὶς	V-AOP-NSM
041480	ἔσται	V-FDI-3S
041486	συνανακειμένων	V-PNP-GPM
041546	ἔσῃ	V-FDI-2S
041564	συνανακειμένων	V-PNP-GPM
041601	Ἔρχεσθε	V-PNM-2P
041607	ἤρξαντο	V-ADI-3P
041611	παραιτεῖσθαι	V-PNN
041637	πορεύομαι	V-PNI-1S
041654	δύναμαι	V-PNI-1S
041736	γεύσεταί	V-FDI-3S
041740	Συνεπορεύοντο	V-INI-3P
041752	ἔρχεται	V-PNI-3S
041783	δύναται	V-PNI-3S
041794	ἔρχεται	V-PNI-3S
041798	δύναται	V-PNI-3S
041839	ἤρξατο	V-ADI-3S
041848	πορευόμενος	V-PNP-NSM
041857	βουλεύσεται	V-FDI-3S
041869	ἐρχομένῳ	V-PNP-DSM
041899	δύναται	V-PNI-3S
041956	προσδέχεται	V-PNI-3S
041989	πορεύεται	V-PNI-3S
042034	ἔσται	V-FDI-3S
042091	γίνεται	V-PNI-3S
042165	ἤρξατο	V-ADI-3S
042168	πορευθεὶς	V-AOP-NSM
042217	πορεύσομαι	V-FDI-1S
042264	ἐσπλαγχνίσθη	V-AOI-3S
042346	ἤρξαντο	V-ADI-3P
042359	ἐρχόμενος	V-PNP-NSM
042368	προσκαλεσάμενος	V-ADP-NSM
042372	ἐπυνθάνετο	V-INI-3S
042414	ἀποκριθεὶς	V-AOP-NSM
042533	δύνῃ	V-PNI-2S
042567	δέξωνταί	V-ADS-3P
042574	προσκαλεσάμενος	V-ADP-NSM
042600	Δέξαι	V-ADM-2S
042624	Δέξαι	V-ADM-2S
042675	δέξωνται	V-ADS-3P
042729	δύναται	V-PNI-3S
042744	ἀνθέξεται	V-FDI-3S
042750	δύνασθε	V-PNI-2P
042884	ἐρχόμενοι	V-PNP-NPM
043007	δύνωνται	V-PNS-3P
043033	διαμαρτύρηται	V-PNS-3S
043067	πορευθῇ	V-AOS-3S
043105	ἔρχεται	V-PNI-3S
043111	περίκειται	V-PNI-3S
043232	πίεσαι	V-FDI-2S
043265	πορεύεσθαι	V-PNN
043270	διήρχετο	V-INI-3S
043277	εἰσερχομένου	V-PNP-GSM
043303	Πορευθέντες	V-AOP-NPM
043343	Ἀποκριθεὶς	V-AOP-NSM
043372	πορεύου	V-PNM-2S
043384	ἔρχεται	V-PNI-3S
043389	ἀπεκρίθη	V-ADI-3S
043394	ἔρχεται	V-PNI-3S
043421	Ἐλεύσονται	V-FDI-3P
043435	ὄψεσθε	V-FDI-2P
043464	ἔσται	V-FDI-3S
043493	ἔσται	V-FDI-3S
043553	ἔσται	V-FDI-3S
043566	ἔσται	V-FDI-3S
043615	ἔσονται	V-FDI-3P
043627	ἔσονται	V-FDI-3P
043641	ἀποκριθέντες	V-AOP-NPM
043666	προσεύχεσθαι	V-PNN
043681	φοβούμενος	V-PNP-NSM
043694	ἤρχετο	V-INI-3S
043720	φοβοῦμαι	V-PNI-1S
043739	ἐρχομένη	V-PNP-NSF
043821	προσεύξασθαι	V-ADN
043835	προσηύχετο	V-INI-3S
043864	κτῶμαι	V-PNI-1S
043931	προσεκαλέσατο	V-ADI-3S
043937	ἔρχεσθαι	V-PNN
043958	δέξηται	V-ADS-3S
044081	εἰσπορεύονται	V-PNI-3P
044104	δύναται	V-PNI-3S
044169	ἐρχομένῳ	V-PNP-DSM
044243	ἐκάθητο	V-INI-3S
044251	διαπορευομένου	V-PNP-GSM
044252	ἐπυνθάνετο	V-INI-3S
044263	παρέρχεται	V-PNI-3S
044343	διήρχετο	V-INI-3S
044368	ἠδύνατο	V-INI-3S
044391	διέρχεσθαι	V-PNN
044420	ὑπεδέξατο	V-ADI-3S
044517	ἐπορεύθη	V-AOI-3S
044539	Πραγματεύσασθε	V-ADM-2P
044542	ἔρχομαι	V-PNI-1S
044584	διεπραγματεύσαντο	V-ADI-3P
044633	γίνου	V-PNM-2S
044648	ἀποκειμένην	V-PNP-ASF
044651	ἐφοβούμην	V-INI-1S
044770	ἐπορεύετο	V-INI-3S
044801	εἰσπορευόμενοι	V-PNP-NPM
044880	Πορευομένου	V-PNP-GSM
044901	ἤρξαντο	V-ADI-3P
044921	ἐρχόμενος	V-PNP-NSM
044950	ἀποκριθεὶς	V-AOP-NSM
045038	ἤρξατο	V-ADI-3S
045046	ἔσται	V-FDI-3S
045139	Ἀποκριθεὶς	V-AOP-NSM
045162	συνελογίσαντο	V-ADI-3P
045194	ἀπεκρίθησαν	V-ADI-3P
045212	Ἤρξατο	V-ADI-3S
045300	διελογίζοντο	V-INI-3P
045330	ἐλεύσεται	V-FDI-3S
045399	ἐφοβήθησαν	V-AOI-3P
045415	ὑποκρινομένους	V-PNP-APM
045597	γίνεται	V-PNI-3S
045639	δύνανται	V-PNI-3P
045685	Ἀποκριθέντες	V-AOP-NPM
045723	Κάθου	V-PNM-2S
045790	προσεύχονται	V-PNI-3P
045792	λήμψονται	V-FDI-3P
045869	ἐλεύσονται	V-FDI-3P
045889	ἔσται	V-FDI-3S
045897	γίνεσθαι	V-PNN
045906	ἐλεύσονται	V-FDI-3P
045919	πορευθῆτε	V-AOS-2P
045960	ἔσονται	V-FDI-3P
045968	ἔσται	V-FDI-3S
045996	ἀποβήσεται	V-FDI-3S
046008	ἀπολογηθῆναι	V-AON
046018	δυνήσονται	V-FDI-3P
046024	ἀντικείμενοι	V-PNP-NPM
046042	ἔσεσθε	V-FDI-2P
046063	κτήσασθε	V-ADM-2P
046102	εἰσερχέσθωσαν	V-PNM-3P
046127	ἔσται	V-FDI-3S
046140	πεσοῦνται	V-FNI-3P
046151	ἔσται	V-FDI-3S
046161	ἔσονται	V-FDI-3P
046188	ἐπερχομένων	V-PNP-GPM
046199	ὄψονται	V-FDI-3P
046204	ἐρχόμενον	V-PNP-ASM
046215	γίνεσθαι	V-PNN
046257	γινόμενα	V-PNP-APN
046285	παρελεύσονται	V-FDI-3P
046292	παρελεύσονται	V-FDI-3P
046323	καθημένους	V-PNP-APM
046334	δεόμενοι	V-PNP-NPM
046342	γίνεσθαι	V-PNN
046361	ἐξερχόμενος	V-PNP-NSM
046362	ηὐλίζετο	V-INI-3S
046401	ἐφοβοῦντο	V-INI-3P
046467	Πορευθέντες	V-AOP-NPM
046504	εἰσπορεύεται	V-PNI-3S
046589	δεξάμενος	V-ADP-NSM
046688	πορεύεται	V-PNI-3S
046699	ἤρξαντο	V-ADI-3P
046750	γινέσθω	V-PNM-3S
046756	ἡγούμενος	V-PNP-NSM
046764	ἀνακείμενος	V-PNP-NSM
046770	ἀνακείμενος	V-PNP-NSM
046814	καθήσεσθε	V-FDI-2P
046869	πορεύεσθαι	V-PNN
046966	ἐπορεύθη	V-AOI-3S
046988	Προσεύχεσθε	V-PNM-2P
047005	προσηύχετο	V-INI-3S
047009	βούλει	V-PNI-2S
047024	γινέσθω	V-PNM-3S
047038	προσηύχετο	V-INI-3S
047072	προσεύχεσθε	V-PNM-2P
047090	προήρχετο	V-INI-3S
047115	ἐσόμενον	V-FDP-ASN
047139	Ἀποκριθεὶς	V-AOP-NSM
047151	ἰάσατο	V-ADI-3S
047227	ἐκάθητο	V-INI-3S
047237	καθήμενον	V-PNP-ASM
047252	ἠρνήσατο	V-ADI-3S
047284	διϊσχυρίζετο	V-INI-3S
047336	ἀπαρνήσῃ	V-FDI-2S
047413	ἀποκριθῆτε	V-AOS-2P
047418	ἔσται	V-FDI-3S
047423	καθήμενος	V-PNP-NSM
047476	ἤρξαντο	V-ADI-3P
047512	ἀποκριθεὶς	V-AOP-NSM
047612	γινόμενον	V-PNP-ASN
047622	ἀπεκρίνατο	V-ADI-3S
047801	ἐπέκειντο	V-INI-3P
047846	ἐρχόμενον	V-PNP-ASM
047895	ἔρχονται	V-PNI-3P
048021	προσερχόμενοι	V-PNP-NPM
048064	Ἀποκριθεὶς	V-AOP-NSM
048072	φοβῇ	V-PNI-2S
048116	ἔσῃ	V-FDI-2S
048230	συνκατατεθειμένος	V-RNP-NSM
048243	προσεδέχετο	V-INI-3S
048273	κείμενος	V-PNP-NSM
048292	ἐθεάσαντο	V-ADI-3P
048501	πορευόμενοι	V-PNP-NPM
048534	συνεπορεύετο	V-INI-3S
048561	ἀποκριθεὶς	V-AOP-NSM
048759	ἐπορεύοντο	V-INI-3P
048764	πορεύεσθαι	V-PNN
048766	παρεβιάσαντο	V-ADI-3P
048868	ἐξηγοῦντο	V-INI-3P
049236	ἐρχόμενον	V-PNP-ASM
049308	ἐθεασάμεθα	V-ADI-1P
049335	ἐρχόμενος	V-PNP-NSM
049384	ἐξηγήσατο	V-ADI-3S
049413	ἠρνήσατο	V-ADI-3S
049439	ἀπεκρίθη	V-ADI-3S
049498	Ἀπεκρίθη	V-ADI-3S
049517	ἐρχόμενος	V-PNP-NSM
049547	ἐρχόμενον	V-PNP-ASM
049571	ἔρχεται	V-PNI-3S
049602	Τεθέαμαι	V-RNI-1S
049696	θεασάμενος	V-ADP-NSM
049716	Ἔρχεσθε	V-PNM-2P
049718	ὄψεσθε	V-FDI-2P
049852	δύναταί	V-PNI-3S
049860	Ἔρχου	V-PNM-2S
049868	ἐρχόμενον	V-PNP-ASM
049889	Ἀπεκρίθη	V-ADI-3S
049905	Ἀπεκρίθη	V-ADI-3S
049920	Ἀπεκρίθη	V-ADI-3S
049937	ὄψῃ	V-FDI-2S
049945	ὄψεσθε	V-FDI-2P
050043	κείμεναι	V-PNP-NPF
050077	ἐγεύσατο	V-ADI-3S
050199	καθημένους	V-PNP-APM
050256	καταφάγεταί	V-FDI-3S
050258	Ἀπεκρίθησαν	V-ADI-3P
050272	Ἀπεκρίθη	V-ADI-3S
050422	δύναται	V-PNI-3S
050437	Ἀπεκρίθη	V-ADI-3S
050452	δύναται	V-PNI-3S
050464	δύναται	V-PNI-3S
050470	δύναται	V-PNI-3S
050481	Ἀπεκρίθη	V-ADI-3S
050496	δύναται	V-PNI-3S
050541	ἔρχεται	V-PNI-3S
050553	Ἀπεκρίθη	V-ADI-3S
050559	δύναται	V-PNI-3S
050562	Ἀπεκρίθη	V-ADI-3S
050759	ἔρχεται	V-PNI-3S
050774	ἔρχεται	V-PNI-3S
050825	παρεγίνοντο	V-IDI-3P
050872	ἔρχονται	V-PNI-3P
050875	Ἀπεκρίθη	V-ADI-3S
050880	δύναται	V-PNI-3S
050949	ἐρχόμενος	V-PNP-NSM
050971	ἐρχόμενος	V-PNP-NSM
051041	ὄψεται	V-FDI-3S
051090	διέρχεσθαι	V-PNN
051094	ἔρχεται	V-PNI-3S
051126	ἐκαθέζετο	V-INI-3S
051135	Ἔρχεται	V-PNI-3S
051180	συνχρῶνται	V-PNI-3P
051183	Ἀπεκρίθη	V-ADI-3S
051259	Ἀπεκρίθη	V-ADI-3S
051296	γενήσεται	V-FDI-3S
051301	ἁλλομένου	V-PNP-GSN
051320	διέρχωμαι	V-PNS-1S
051333	Ἀπεκρίθη	V-ADI-3S
051405	ἔρχεται	V-PNI-3S
051436	ἔρχεται	V-PNI-3S
051481	ἔρχεται	V-PNI-3S
051558	ἤρχοντο	V-INI-3P
051623	ἔρχεται	V-PNI-3S
051632	θεάσασθε	V-ADM-2P
